tbl_PhysicalSites.PhysicalSiteID,OrganisationID,PostCode,ActualSalesId,tbl_ActualSales.PhysicalSiteID,WorkDate,Type,ActualSalesValue
241,4,LS17 0DJ,36636265,241,01-Mar-21,Food,35
241,4,LS17 0DJ,36636266,241,01-Mar-21,Drink,5
241,4,LS17 0DJ,36636267,241,01-Mar-21,Accommodation,0
500,89,LL29 6DD,36636277,500,01-Mar-21,Food,215.92
500,89,LL29 6DD,36636278,500,01-Mar-21,Drink,0
500,89,LL29 6DD,36636279,500,01-Mar-21,Accommodation,0
612,89,CH64 7TL,36636631,612,01-Mar-21,Food,0
612,89,CH64 7TL,36636632,612,01-Mar-21,Drink,0
612,89,CH64 7TL,36636633,612,01-Mar-21,Accommodation,0
1759,89,B49 5NL,36636793,1759,01-Mar-21,Food,0
1759,89,B49 5NL,36636794,1759,01-Mar-21,Drink,0
1759,89,B49 5NL,36636795,1759,01-Mar-21,Accommodation,0
2336,89,CV37 8NY,36636904,2336,01-Mar-21,Food,0
2336,89,CV37 8NY,36636905,2336,01-Mar-21,Drink,0
2336,89,CV37 8NY,36636906,2336,01-Mar-21,Accommodation,0
2305,380,SW3 5UZ,36637225,2305,01-Mar-21,Food,4824.1
2305,380,SW3 5UZ,36637226,2305,01-Mar-21,Drink,0
2305,380,SW3 5UZ,36637227,2305,01-Mar-21,Accommodation,0
2490,380,SE1 1LB,36637294,2490,01-Mar-21,Food,3450.54
2490,380,SE1 1LB,36637296,2490,01-Mar-21,Drink,0
2490,380,SE1 1LB,36637298,2490,01-Mar-21,Accommodation,0
2306,380,W2 4UL,36637345,2306,01-Mar-21,Food,6968.05
2306,380,W2 4UL,36637346,2306,01-Mar-21,Drink,0
2306,380,W2 4UL,36637347,2306,01-Mar-21,Accommodation,0
1589,250,SK2 6DG,36640186,1589,01-Mar-21,Food,299.28
1589,250,SK2 6DG,36640187,1589,01-Mar-21,Drink,262.15
1589,250,SK2 6DG,36640188,1589,01-Mar-21,Accommodation,0
